engagement_id,customer_id,favorite_match_type,average_match_watch_time_minutes,matches_watched_per_season,preferred_ad_format,ad_click_rate,sports_content_watch_hours_per_week,engagement_during_csk_matches,engagement_during_rcb_matches,engagement_during_mi_matches,streaming_device_preference,second_screen_usage,social_media_activity_during_matches,engagement_potential_score
ENG000731,CUST0731,League Match,148,44,Influencer Promotion,0.16,9.3,68,70,67,Mobile,Yes,Medium,69.3
ENG000732,CUST0732,League Match,118,34,Banner Ad,0.10,5.8,59,57,55,Smart TV,No,Low,55.7
ENG000733,CUST0733,Playoffs,220,73,Short Reel,0.31,21.5,94,95,93,Mobile,Yes,High,96.8
ENG000734,CUST0734,League Match,97,24,Banner Ad,0.05,3.6,46,45,43,Laptop,No,Low,44.5
ENG000735,CUST0735,Finals,240,78,Short Reel,0.35,25.8,99,98,97,Mobile,Yes,High,99.7
ENG000736,CUST0736,Rivalry Match,185,61,Video Ad,0.23,14.5,87,89,85,Smart TV,Yes,Medium,87.5
ENG000737,CUST0737,League Match,137,38,Influencer Promotion,0.13,7.2,62,64,61,Laptop,No,Medium,62.0
ENG000738,CUST0738,League Match,120,35,Banner Ad,0.11,6.0,60,58,56,Smart TV,No,Low,56.6
ENG000739,CUST0739,Playoffs,214,71,Short Reel,0.29,19.7,91,94,90,Mobile,Yes,High,94.7
ENG000740,CUST0740,League Match,104,27,Banner Ad,0.07,4.3,52,50,48,Laptop,No,Low,48.4
ENG000741,CUST0741,Rivalry Match,189,63,Video Ad,0.24,15.0,88,90,86,Smart TV,Yes,High,90.1
ENG000742,CUST0742,League Match,144,42,Influencer Promotion,0.15,8.8,67,68,65,Mobile,Yes,Medium,67.5
ENG000743,CUST0743,Finals,236,77,Short Reel,0.34,25.0,98,97,96,Mobile,Yes,High,99.0
ENG000744,CUST0744,League Match,110,30,Banner Ad,0.08,4.8,56,53,51,Laptop,No,Low,51.6
ENG000745,CUST0745,Playoffs,207,69,Video Ad,0.26,17.6,89,91,88,Smart TV,Yes,High,91.9
ENG000746,CUST0746,Rivalry Match,195,66,Short Reel,0.31,20.4,93,96,92,Mobile,Yes,High,95.7
ENG000747,CUST0747,League Match,138,38,Influencer Promotion,0.14,7.4,63,64,61,Laptop,No,Medium,62.4
ENG000748,CUST0748,League Match,115,33,Banner Ad,0.10,5.5,58,56,54,Smart TV,No,Low,55.1
ENG000749,CUST0749,Finals,231,76,Short Reel,0.33,23.9,96,97,95,Mobile,Yes,High,98.2
ENG000750,CUST0750,Rivalry Match,176,57,Video Ad,0.21,13.1,85,87,83,Laptop,Yes,Medium,84.5
ENG000751,CUST0751,League Match,148,44,Influencer Promotion,0.16,9.3,68,70,67,Mobile,Yes,Medium,69.3
ENG000752,CUST0752,League Match,118,34,Banner Ad,0.10,5.8,59,57,55,Smart TV,No,Low,55.7
ENG000753,CUST0753,Playoffs,220,73,Short Reel,0.31,21.5,94,95,93,Mobile,Yes,High,96.8
ENG000754,CUST0754,League Match,97,24,Banner Ad,0.05,3.6,46,45,43,Laptop,No,Low,44.5
ENG000755,CUST0755,Finals,240,78,Short Reel,0.35,25.8,99,98,97,Mobile,Yes,High,99.7
ENG000756,CUST0756,Rivalry Match,185,61,Video Ad,0.23,14.5,87,89,85,Smart TV,Yes,Medium,87.5
ENG000757,CUST0757,League Match,137,38,Influencer Promotion,0.13,7.2,62,64,61,Laptop,No,Medium,62.0
ENG000758,CUST0758,League Match,120,35,Banner Ad,0.11,6.0,60,58,56,Smart TV,No,Low,56.6
ENG000759,CUST0759,Playoffs,214,71,Short Reel,0.29,19.7,91,94,90,Mobile,Yes,High,94.7
ENG000760,CUST0760,League Match,104,27,Banner Ad,0.07,4.3,52,50,48,Laptop,No,Low,48.4
ENG000761,CUST0761,Rivalry Match,189,63,Video Ad,0.24,15.0,88,90,86,Smart TV,Yes,High,90.1
ENG000762,CUST0762,League Match,144,42,Influencer Promotion,0.15,8.8,67,68,65,Mobile,Yes,Medium,67.5
ENG000763,CUST0763,Finals,236,77,Short Reel,0.34,25.0,98,97,96,Mobile,Yes,High,99.0
ENG000764,CUST0764,League Match,110,30,Banner Ad,0.08,4.8,56,53,51,Laptop,No,Low,51.6
ENG000765,CUST0765,Playoffs,207,69,Video Ad,0.26,17.6,89,91,88,Smart TV,Yes,High,91.9
ENG000766,CUST0766,Rivalry Match,195,66,Short Reel,0.31,20.4,93,96,92,Mobile,Yes,High,95.7
ENG000767,CUST0767,League Match,138,38,Influencer Promotion,0.14,7.4,63,64,61,Laptop,No,Medium,62.4
ENG000768,CUST0768,League Match,115,33,Banner Ad,0.10,5.5,58,56,54,Smart TV,No,Low,55.1
ENG000769,CUST0769,Finals,231,76,Short Reel,0.33,23.9,96,97,95,Mobile,Yes,High,98.2
ENG000770,CUST0770,Rivalry Match,176,57,Video Ad,0.21,13.1,85,87,83,Laptop,Yes,Medium,84.5
ENG000771,CUST0771,League Match,148,44,Influencer Promotion,0.16,9.3,68,70,67,Mobile,Yes,Medium,69.3
ENG000772,CUST0772,League Match,118,34,Banner Ad,0.10,5.8,59,57,55,Smart TV,No,Low,55.7
ENG000773,CUST0773,Playoffs,220,73,Short Reel,0.31,21.5,94,95,93,Mobile,Yes,High,96.8
ENG000774,CUST0774,League Match,97,24,Banner Ad,0.05,3.6,46,45,43,Laptop,No,Low,44.5
ENG000775,CUST0775,Finals,240,78,Short Reel,0.35,25.8,99,98,97,Mobile,Yes,High,99.7
ENG000776,CUST0776,Rivalry Match,185,61,Video Ad,0.23,14.5,87,89,85,Smart TV,Yes,Medium,87.5
ENG000777,CUST0777,League Match,137,38,Influencer Promotion,0.13,7.2,62,64,61,Laptop,No,Medium,62.0
ENG000778,CUST0778,League Match,120,35,Banner Ad,0.11,6.0,60,58,56,Smart TV,No,Low,56.6
ENG000779,CUST0779,Playoffs,214,71,Short Reel,0.29,19.7,91,94,90,Mobile,Yes,High,94.7
ENG000780,CUST0780,League Match,104,27,Banner Ad,0.07,4.3,52,50,48,Laptop,No,Low,48.4
ENG000781,CUST0781,Rivalry Match,189,63,Video Ad,0.24,15.0,88,90,86,Smart TV,Yes,High,90.1
ENG000782,CUST0782,League Match,144,42,Influencer Promotion,0.15,8.8,67,68,65,Mobile,Yes,Medium,67.5
ENG000783,CUST0783,Finals,236,77,Short Reel,0.34,25.0,98,97,96,Mobile,Yes,High,99.0
ENG000784,CUST0784,League Match,110,30,Banner Ad,0.08,4.8,56,53,51,Laptop,No,Low,51.6
ENG000785,CUST0785,Playoffs,207,69,Video Ad,0.26,17.6,89,91,88,Smart TV,Yes,High,91.9
ENG000786,CUST0786,Rivalry Match,195,66,Short Reel,0.31,20.4,93,96,92,Mobile,Yes,High,95.7
ENG000787,CUST0787,League Match,138,38,Influencer Promotion,0.14,7.4,63,64,61,Laptop,No,Medium,62.4
ENG000788,CUST0788,League Match,115,33,Banner Ad,0.10,5.5,58,56,54,Smart TV,No,Low,55.1
ENG000789,CUST0789,Finals,231,76,Short Reel,0.33,23.9,96,97,95,Mobile,Yes,High,98.2
ENG000790,CUST0790,Rivalry Match,176,57,Video Ad,0.21,13.1,85,87,83,Laptop,Yes,Medium,84.5
ENG000791,CUST0791,League Match,148,44,Influencer Promotion,0.16,9.3,68,70,67,Mobile,Yes,Medium,69.3
ENG000792,CUST0792,League Match,118,34,Banner Ad,0.10,5.8,59,57,55,Smart TV,No,Low,55.7
ENG000793,CUST0793,Playoffs,220,73,Short Reel,0.31,21.5,94,95,93,Mobile,Yes,High,96.8
ENG000794,CUST0794,League Match,97,24,Banner Ad,0.05,3.6,46,45,43,Laptop,No,Low,44.5
ENG000795,CUST0795,Finals,240,78,Short Reel,0.35,25.8,99,98,97,Mobile,Yes,High,99.7
ENG000796,CUST0796,Rivalry Match,185,61,Video Ad,0.23,14.5,87,89,85,Smart TV,Yes,Medium,87.5
ENG000797,CUST0797,League Match,137,38,Influencer Promotion,0.13,7.2,62,64,61,Laptop,No,Medium,62.0
ENG000798,CUST0798,League Match,120,35,Banner Ad,0.11,6.0,60,58,56,Smart TV,No,Low,56.6
ENG000799,CUST0799,Playoffs,214,71,Short Reel,0.29,19.7,91,94,90,Mobile,Yes,High,94.7
ENG000800,CUST0800,League Match,104,27,Banner Ad,0.07,4.3,52,50,48,Laptop,No,Low,48.4
ENG000801,CUST0801,Rivalry Match,187,63,Short Reel,0.30,19.1,92,95,90,Mobile,Yes,High,94.4
ENG000802,CUST0802,League Match,128,40,Video Ad,0.15,8.5,67,64,60,Laptop,No,Medium,65.2
ENG000803,CUST0803,Playoffs,215,74,Influencer Promotion,0.33,22.1,95,94,92,Mobile,Yes,High,97.4
ENG000804,CUST0804,League Match,101,28,Banner Ad,0.07,4.6,54,51,48,Smart TV,No,Low,49.7
ENG000805,CUST0805,Finals,242,79,Short Reel,0.35,25.1,99,98,96,Mobile,Yes,High,99.1
ENG000806,CUST0806,League Match,148,44,Video Ad,0.17,10.1,71,72,69,Laptop,No,Medium,69.9
ENG000807,CUST0807,Rivalry Match,197,66,Short Reel,0.32,20.6,94,97,91,Mobile,Yes,High,95.8
ENG000808,CUST0808,League Match,169,43,Video Ad,0.14,8.3,65,61,63,Smart TV,No,Low,61.9
ENG000809,CUST0809,Playoffs,205,69,Influencer Promotion,0.29,19.0,90,93,88,Mobile,Yes,High,92.9
ENG000810,CUST0810,League Match,92,23,Banner Ad,0.05,3.3,46,48,44,Laptop,No,Low,44.7
ENG000811,CUST0811,Rivalry Match,179,58,Short Reel,0.28,16.9,88,92,86,Mobile,Yes,High,90.8
ENG000812,CUST0812,League Match,136,39,Video Ad,0.12,7.2,63,59,61,Smart TV,No,Medium,59.7
ENG000813,CUST0813,Playoffs,224,76,Influencer Promotion,0.34,23.4,97,95,94,Mobile,Yes,High,98.3
ENG000814,CUST0814,League Match,108,30,Banner Ad,0.08,5.1,57,54,51,Laptop,No,Low,51.4
ENG000815,CUST0815,Finals,235,79,Short Reel,0.35,26.1,99,98,97,Mobile,Yes,High,99.6
ENG000816,CUST0816,Rivalry Match,188,64,Video Ad,0.20,11.9,86,89,85,Laptop,Yes,Medium,86.7
ENG000817,CUST0817,League Match,147,42,Influencer Promotion,0.15,9.2,68,69,65,Mobile,Yes,Medium,68.1
ENG000818,CUST0818,League Match,116,33,Banner Ad,0.09,5.6,58,56,54,Smart TV,No,Low,54.8
ENG000819,CUST0819,Playoffs,218,73,Short Reel,0.30,20.8,94,96,92,Mobile,Yes,High,96.1
ENG000820,CUST0820,League Match,99,24,Banner Ad,0.06,4.0,49,47,45,Laptop,No,Low,46.7
ENG000821,CUST0821,Rivalry Match,182,59,Video Ad,0.22,13.0,87,89,85,Smart TV,Yes,Medium,87.8
ENG000822,CUST0822,League Match,153,47,Influencer Promotion,0.18,10.3,72,73,70,Mobile,Yes,Medium,72.0
ENG000823,CUST0823,Finals,244,80,Short Reel,0.35,26.3,99,99,98,Mobile,Yes,High,100.0
ENG000824,CUST0824,League Match,111,29,Banner Ad,0.08,4.6,55,52,52,Laptop,No,Low,50.8
ENG000825,CUST0825,Playoffs,210,70,Video Ad,0.27,18.1,90,92,89,Smart TV,Yes,High,92.6
ENG000826,CUST0826,Rivalry Match,193,65,Short Reel,0.30,19.5,92,95,90,Mobile,Yes,High,94.8
ENG000827,CUST0827,League Match,142,40,Influencer Promotion,0.14,7.9,64,66,63,Laptop,No,Medium,64.4
ENG000828,CUST0828,League Match,105,28,Banner Ad,0.07,4.4,54,52,49,Smart TV,No,Low,50.0
ENG000829,CUST0829,Finals,232,76,Short Reel,0.33,23.8,96,97,95,Mobile,Yes,High,98.3
ENG000830,CUST0830,Rivalry Match,175,56,Video Ad,0.21,13.8,84,87,83,Laptop,Yes,Medium,85.4
ENG000831,CUST0831,League Match,149,43,Influencer Promotion,0.16,9.5,69,67,67,Mobile,Yes,Medium,68.8
ENG000832,CUST0832,League Match,113,31,Banner Ad,0.09,5.8,57,55,53,Smart TV,No,Low,53.9
ENG000833,CUST0833,Playoffs,220,74,Short Reel,0.31,21.8,95,96,94,Mobile,Yes,High,97.0
ENG000834,CUST0834,League Match,97,23,Banner Ad,0.05,3.7,47,46,44,Laptop,No,Low,45.3
ENG000835,CUST0835,Finals,240,78,Short Reel,0.35,25.6,99,98,97,Mobile,Yes,High,99.7
ENG000836,CUST0836,Rivalry Match,184,61,Video Ad,0.24,15.8,88,90,87,Smart TV,Yes,High,90.7
ENG000837,CUST0837,League Match,140,39,Influencer Promotion,0.13,7.5,63,65,62,Laptop,No,Medium,62.8
ENG000838,CUST0838,League Match,120,34,Banner Ad,0.10,6.1,59,57,55,Smart TV,No,Low,56.2
ENG000839,CUST0839,Playoffs,213,71,Short Reel,0.29,20.1,92,94,91,Mobile,Yes,High,95.0
ENG000840,CUST0840,League Match,103,26,Banner Ad,0.06,4.3,50,48,46,Laptop,No,Low,47.6
ENG000841,CUST0841,Rivalry Match,190,63,Video Ad,0.23,15.0,89,90,87,Smart TV,Yes,Medium,89.0
ENG000842,CUST0842,League Match,145,43,Influencer Promotion,0.15,8.8,66,68,65,Mobile,Yes,Medium,67.5
ENG000843,CUST0843,Finals,237,77,Short Reel,0.34,25.1,98,97,96,Mobile,Yes,High,99.1
ENG000844,CUST0844,League Match,109,30,Banner Ad,0.08,4.9,56,53,51,Laptop,No,Low,51.7
ENG000845,CUST0845,Playoffs,207,68,Video Ad,0.25,17.6,88,91,87,Smart TV,Yes,High,91.6
ENG000846,CUST0846,Rivalry Match,196,66,Short Reel,0.31,20.4,93,95,92,Mobile,Yes,High,95.5
ENG000847,CUST0847,League Match,141,39,Influencer Promotion,0.14,7.7,64,65,63,Laptop,No,Medium,63.8
ENG000848,CUST0848,League Match,115,32,Banner Ad,0.09,5.4,57,55,53,Smart TV,No,Low,54.2
ENG000849,CUST0849,Finals,230,75,Short Reel,0.32,23.5,95,96,94,Mobile,Yes,High,97.8
ENG000850,CUST0850,Rivalry Match,176,57,Video Ad,0.20,13.2,84,86,82,Laptop,Yes,Medium,84.3
ENG000851,CUST0851,League Match,152,45,Influencer Promotion,0.17,9.8,70,71,69,Mobile,Yes,Medium,70.9
ENG000852,CUST0852,League Match,118,34,Banner Ad,0.10,6.0,59,56,55,Smart TV,No,Low,56.4
ENG000853,CUST0853,Playoffs,222,74,Short Reel,0.32,22.0,95,96,94,Mobile,Yes,High,97.3
ENG000854,CUST0854,League Match,101,24,Banner Ad,0.06,4.1,48,46,44,Laptop,No,Low,45.7
ENG000855,CUST0855,Finals,242,79,Short Reel,0.35,26.2,99,98,97,Mobile,Yes,High,99.9
ENG000856,CUST0856,Rivalry Match,185,60,Video Ad,0.22,14.3,86,88,84,Smart TV,Yes,Medium,87.2
ENG000857,CUST0857,League Match,137,37,Influencer Promotion,0.13,7.1,61,63,60,Laptop,No,Medium,61.3
ENG000858,CUST0858,League Match,122,35,Banner Ad,0.11,6.2,60,58,56,Smart TV,No,Low,57.0
ENG000859,CUST0859,Playoffs,216,72,Short Reel,0.30,20.2,92,94,91,Mobile,Yes,High,95.2
ENG000860,CUST0860,League Match,106,27,Banner Ad,0.07,4.5,52,50,48,Laptop,No,Low,48.9
ENG000861,CUST0861,Rivalry Match,189,62,Video Ad,0.24,15.2,88,90,87,Smart TV,Yes,High,90.4
ENG000862,CUST0862,League Match,146,42,Influencer Promotion,0.15,9.0,67,68,65,Mobile,Yes,Medium,67.9
ENG000863,CUST0863,Finals,238,78,Short Reel,0.34,25.2,98,97,96,Mobile,Yes,High,99.2
ENG000864,CUST0864,League Match,112,30,Banner Ad,0.08,5.0,56,53,51,Laptop,No,Low,51.9
ENG000865,CUST0865,Playoffs,209,69,Video Ad,0.26,17.8,89,91,88,Smart TV,Yes,High,92.2
ENG000866,CUST0866,Rivalry Match,197,66,Short Reel,0.31,20.6,93,96,92,Mobile,Yes,High,95.9
ENG000867,CUST0867,League Match,139,38,Influencer Promotion,0.14,7.4,62,64,61,Laptop,No,Medium,62.5
ENG000868,CUST0868,League Match,117,33,Banner Ad,0.10,5.7,58,56,54,Smart TV,No,Low,55.4
ENG000869,CUST0869,Finals,233,76,Short Reel,0.33,24.1,96,97,95,Mobile,Yes,High,98.4
ENG000870,CUST0870,Rivalry Match,177,57,Video Ad,0.21,13.3,85,87,83,Laptop,Yes,Medium,84.8
ENG000871,CUST0871,League Match,150,44,Influencer Promotion,0.16,9.4,68,70,67,Mobile,Yes,Medium,69.6
ENG000872,CUST0872,League Match,119,34,Banner Ad,0.10,5.9,59,57,55,Smart TV,No,Low,56.0
ENG000873,CUST0873,Playoffs,221,73,Short Reel,0.31,21.6,94,95,93,Mobile,Yes,High,96.9
ENG000874,CUST0874,League Match,98,24,Banner Ad,0.05,3.7,46,45,43,Laptop,No,Low,44.6
ENG000875,CUST0875,Finals,241,78,Short Reel,0.35,25.9,99,98,97,Mobile,Yes,High,99.8
ENG000876,CUST0876,Rivalry Match,186,61,Video Ad,0.23,14.6,87,89,85,Smart TV,Yes,Medium,87.7
ENG000877,CUST0877,League Match,138,38,Influencer Promotion,0.13,7.3,62,64,61,Laptop,No,Medium,62.2
ENG000878,CUST0878,League Match,121,35,Banner Ad,0.11,6.1,60,58,56,Smart TV,No,Low,56.8
ENG000879,CUST0879,Playoffs,215,71,Short Reel,0.29,19.8,91,94,90,Mobile,Yes,High,94.8
ENG000880,CUST0880,League Match,105,27,Banner Ad,0.07,4.4,52,50,48,Laptop,No,Low,48.6
ENG000881,CUST0881,Rivalry Match,190,63,Video Ad,0.24,15.1,88,90,86,Smart TV,Yes,High,90.2
ENG000882,CUST0882,League Match,145,42,Influencer Promotion,0.15,8.9,67,68,65,Mobile,Yes,Medium,67.7
ENG000883,CUST0883,Finals,237,77,Short Reel,0.34,25.1,98,97,96,Mobile,Yes,High,99.1
ENG000884,CUST0884,League Match,111,30,Banner Ad,0.08,4.9,56,53,51,Laptop,No,Low,51.8
ENG000885,CUST0885,Playoffs,208,68,Video Ad,0.25,17.7,88,91,87,Smart TV,Yes,High,91.8
ENG000886,CUST0886,Rivalry Match,196,66,Short Reel,0.31,20.5,93,95,92,Mobile,Yes,High,95.6
ENG000887,CUST0887,League Match,140,39,Influencer Promotion,0.14,7.6,63,64,62,Laptop,No,Medium,63.0
ENG000888,CUST0888,League Match,116,32,Banner Ad,0.09,5.5,57,55,53,Smart TV,No,Low,54.3
ENG000889,CUST0889,Finals,231,75,Short Reel,0.32,23.6,95,96,94,Mobile,Yes,High,97.9
ENG000890,CUST0890,Rivalry Match,177,57,Video Ad,0.20,13.2,84,86,82,Laptop,Yes,Medium,84.4
ENG000891,CUST0891,League Match,151,45,Influencer Promotion,0.17,9.9,70,71,69,Mobile,Yes,Medium,71.0
ENG000892,CUST0892,League Match,119,34,Banner Ad,0.10,6.0,59,56,55,Smart TV,No,Low,56.5
ENG000893,CUST0893,Playoffs,222,74,Short Reel,0.32,22.1,95,96,94,Mobile,Yes,High,97.4
ENG000894,CUST0894,League Match,102,24,Banner Ad,0.06,4.2,48,46,44,Laptop,No,Low,45.8
ENG000895,CUST0895,Finals,242,79,Short Reel,0.35,26.3,99,98,97,Mobile,Yes,High,100.0
ENG000896,CUST0896,Rivalry Match,186,60,Video Ad,0.22,14.4,86,88,84,Smart TV,Yes,Medium,87.3
ENG000897,CUST0897,League Match,138,37,Influencer Promotion,0.13,7.2,61,63,60,Laptop,No,Medium,61.5
ENG000898,CUST0898,League Match,123,35,Banner Ad,0.11,6.3,60,58,56,Smart TV,No,Low,57.1
ENG000899,CUST0899,Playoffs,217,72,Short Reel,0.30,20.3,92,94,91,Mobile,Yes,High,95.3
ENG000900,CUST0900,League Match,107,27,Banner Ad,0.07,4.6,52,50,48,Laptop,No,Low,49.0
ENG000901,CUST0901,Rivalry Match,190,62,Video Ad,0.24,15.3,88,90,87,Smart TV,Yes,High,90.5
ENG000902,CUST0902,League Match,147,42,Influencer Promotion,0.15,9.1,67,68,65,Mobile,Yes,Medium,68.0
ENG000903,CUST0903,Finals,239,78,Short Reel,0.34,25.3,98,97,96,Mobile,Yes,High,99.3
ENG000904,CUST0904,League Match,113,30,Banner Ad,0.08,5.1,56,53,51,Laptop,No,Low,52.0
ENG000905,CUST0905,Playoffs,210,69,Video Ad,0.26,17.9,89,91,88,Smart TV,Yes,High,92.3
ENG000906,CUST0906,Rivalry Match,198,66,Short Reel,0.31,20.7,93,96,92,Mobile,Yes,High,96.0
ENG000907,CUST0907,League Match,140,38,Influencer Promotion,0.14,7.5,62,64,61,Laptop,No,Medium,62.7
ENG000908,CUST0908,League Match,118,33,Banner Ad,0.10,5.8,58,56,54,Smart TV,No,Low,55.5
ENG000909,CUST0909,Finals,234,76,Short Reel,0.33,24.2,96,97,95,Mobile,Yes,High,98.5
ENG000910,CUST0910,Rivalry Match,178,57,Video Ad,0.21,13.4,85,87,83,Laptop,Yes,Medium,84.9
ENG000911,CUST0911,League Match,151,44,Influencer Promotion,0.16,9.5,68,70,67,Mobile,Yes,Medium,69.7
ENG000912,CUST0912,League Match,120,34,Banner Ad,0.10,6.0,59,57,55,Smart TV,No,Low,56.1
ENG000913,CUST0913,Playoffs,222,73,Short Reel,0.31,21.7,94,95,93,Mobile,Yes,High,97.0
ENG000914,CUST0914,League Match,99,24,Banner Ad,0.05,3.8,46,45,43,Laptop,No,Low,44.7
ENG000915,CUST0915,Finals,242,78,Short Reel,0.35,26.0,99,98,97,Mobile,Yes,High,99.9
ENG000916,CUST0916,Rivalry Match,187,61,Video Ad,0.23,14.7,87,89,85,Smart TV,Yes,Medium,87.8
ENG000917,CUST0917,League Match,139,38,Influencer Promotion,0.13,7.4,62,64,61,Laptop,No,Medium,62.3
ENG000918,CUST0918,League Match,122,35,Banner Ad,0.11,6.2,60,58,56,Smart TV,No,Low,56.9
ENG000919,CUST0919,Playoffs,216,71,Short Reel,0.29,19.9,91,94,90,Mobile,Yes,High,94.9
ENG000920,CUST0920,League Match,106,27,Banner Ad,0.07,4.5,52,50,48,Laptop,No,Low,48.7
ENG000921,CUST0921,Rivalry Match,191,63,Video Ad,0.24,15.2,88,90,86,Smart TV,Yes,High,90.3
ENG000922,CUST0922,League Match,146,42,Influencer Promotion,0.15,9.0,67,68,65,Mobile,Yes,Medium,67.8
ENG000923,CUST0923,Finals,238,77,Short Reel,0.34,25.2,98,97,96,Mobile,Yes,High,99.2
ENG000924,CUST0924,League Match,112,30,Banner Ad,0.08,5.0,56,53,51,Laptop,No,Low,51.9
ENG000925,CUST0925,Playoffs,209,68,Video Ad,0.25,17.8,88,91,87,Smart TV,Yes,High,92.0
ENG000926,CUST0926,Rivalry Match,197,66,Short Reel,0.31,20.6,93,95,92,Mobile,Yes,High,95.8
ENG000927,CUST0927,League Match,141,39,Influencer Promotion,0.14,7.7,63,64,62,Laptop,No,Medium,63.1
ENG000928,CUST0928,League Match,117,32,Banner Ad,0.09,5.6,57,55,53,Smart TV,No,Low,54.4
ENG000929,CUST0929,Finals,232,75,Short Reel,0.32,23.7,95,96,94,Mobile,Yes,High,98.0
ENG000930,CUST0930,Rivalry Match,178,57,Video Ad,0.20,13.3,84,86,82,Laptop,Yes,Medium,84.5
ENG000931,CUST0931,League Match,152,45,Influencer Promotion,0.17,10.0,70,71,69,Mobile,Yes,Medium,71.1
ENG000932,CUST0932,League Match,120,34,Banner Ad,0.10,6.1,59,56,55,Smart TV,No,Low,56.6
ENG000933,CUST0933,Playoffs,223,74,Short Reel,0.32,22.2,95,96,94,Mobile,Yes,High,97.5
ENG000934,CUST0934,League Match,103,24,Banner Ad,0.06,4.3,48,46,44,Laptop,No,Low,45.9
ENG000935,CUST0935,Finals,243,79,Short Reel,0.35,26.4,99,98,97,Mobile,Yes,High,100.0
ENG000936,CUST0936,Rivalry Match,187,60,Video Ad,0.22,14.5,86,88,84,Smart TV,Yes,Medium,87.4
ENG000937,CUST0937,League Match,139,37,Influencer Promotion,0.13,7.3,61,63,60,Laptop,No,Medium,61.6
ENG000938,CUST0938,League Match,124,35,Banner Ad,0.11,6.4,60,58,56,Smart TV,No,Low,57.2
ENG000939,CUST0939,Playoffs,218,72,Short Reel,0.30,20.4,92,94,91,Mobile,Yes,High,95.4
ENG000940,CUST0940,League Match,108,27,Banner Ad,0.07,4.7,52,50,48,Laptop,No,Low,49.1
ENG000941,CUST0941,Rivalry Match,191,62,Video Ad,0.24,15.4,88,90,87,Smart TV,Yes,High,90.6
ENG000942,CUST0942,League Match,148,42,Influencer Promotion,0.15,9.2,67,68,65,Mobile,Yes,Medium,68.1
ENG000943,CUST0943,Finals,240,78,Short Reel,0.34,25.4,98,97,96,Mobile,Yes,High,99.4
ENG000944,CUST0944,League Match,114,30,Banner Ad,0.08,5.2,56,53,51,Laptop,No,Low,52.1
ENG000945,CUST0945,Playoffs,211,69,Video Ad,0.26,18.0,89,91,88,Smart TV,Yes,High,92.4
ENG000946,CUST0946,Rivalry Match,199,66,Short Reel,0.31,20.8,93,96,92,Mobile,Yes,High,96.1
ENG000947,CUST0947,League Match,141,38,Influencer Promotion,0.14,7.6,62,64,61,Laptop,No,Medium,62.8
ENG000948,CUST0948,League Match,119,33,Banner Ad,0.10,5.9,58,56,54,Smart TV,No,Low,55.6
ENG000949,CUST0949,Finals,235,76,Short Reel,0.33,24.3,96,97,95,Mobile,Yes,High,98.6
ENG000950,CUST0950,Rivalry Match,179,57,Video Ad,0.21,13.5,85,87,83,Laptop,Yes,Medium,85.0
ENG000951,CUST0951,League Match,152,44,Influencer Promotion,0.16,9.6,68,70,67,Mobile,Yes,Medium,69.8
ENG000952,CUST0952,League Match,121,34,Banner Ad,0.10,6.1,59,57,55,Smart TV,No,Low,56.2
ENG000953,CUST0953,Playoffs,223,73,Short Reel,0.31,21.8,94,95,93,Mobile,Yes,High,97.1
ENG000954,CUST0954,League Match,100,24,Banner Ad,0.05,3.9,46,45,43,Laptop,No,Low,44.8
ENG000955,CUST0955,Finals,243,78,Short Reel,0.35,26.1,99,98,97,Mobile,Yes,High,100.0
ENG000956,CUST0956,Rivalry Match,188,61,Video Ad,0.23,14.8,87,89,85,Smart TV,Yes,Medium,87.9
ENG000957,CUST0957,League Match,140,38,Influencer Promotion,0.13,7.5,62,64,61,Laptop,No,Medium,62.4
ENG000958,CUST0958,League Match,123,35,Banner Ad,0.11,6.3,60,58,56,Smart TV,No,Low,57.0
ENG000959,CUST0959,Playoffs,217,71,Short Reel,0.29,20.0,91,94,90,Mobile,Yes,High,95.0
ENG000960,CUST0960,League Match,107,27,Banner Ad,0.07,4.6,52,50,48,Laptop,No,Low,48.8
ENG000961,CUST0961,Rivalry Match,192,63,Video Ad,0.24,15.3,88,90,86,Smart TV,Yes,High,90.4
ENG000962,CUST0962,League Match,147,42,Influencer Promotion,0.15,9.1,67,68,65,Mobile,Yes,Medium,67.9
ENG000963,CUST0963,Finals,239,77,Short Reel,0.34,25.3,98,97,96,Mobile,Yes,High,99.3
ENG000964,CUST0964,League Match,113,30,Banner Ad,0.08,5.1,56,53,51,Laptop,No,Low,52.0
ENG000965,CUST0965,Playoffs,210,68,Video Ad,0.25,17.9,88,91,87,Smart TV,Yes,High,92.1
ENG000966,CUST0966,Rivalry Match,198,66,Short Reel,0.31,20.7,93,95,92,Mobile,Yes,High,95.9
ENG000967,CUST0967,League Match,142,39,Influencer Promotion,0.14,7.8,63,64,62,Laptop,No,Medium,63.2
ENG000968,CUST0968,League Match,118,32,Banner Ad,0.09,5.7,57,55,53,Smart TV,No,Low,54.5
ENG000969,CUST0969,Finals,233,75,Short Reel,0.32,23.8,95,96,94,Mobile,Yes,High,98.1
ENG000970,CUST0970,Rivalry Match,179,57,Video Ad,0.20,13.4,84,86,82,Laptop,Yes,Medium,84.6
ENG000971,CUST0971,League Match,153,45,Influencer Promotion,0.17,10.1,70,71,69,Mobile,Yes,Medium,71.2
