purchase_id,customer_id,preferred_shopping_platform,sports_equipment_spending_per_month,previous_cricket_gear_purchases,average_order_value,preferred_product_category,purchase_frequency_per_year,discount_sensitivity,cart_abandonment_rate,payment_method_preference,brand_loyalty_level,likely_to_buy_cricket_kit
PUR000946,CUST0946,Brand Website,6410,9,8310,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000947,CUST0947,Flipkart,2500,3,3200,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000948,CUST0948,Amazon,3750,5,4950,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000949,CUST0949,Local Store,1370,1,1670,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000950,CUST0950,Brand Website,5970,8,7770,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000951,CUST0951,Amazon,3380,4,4480,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR000952,CUST0952,Flipkart,1930,2,2430,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000953,CUST0953,Brand Website,7380,10,9580,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000954,CUST0954,Local Store,1200,1,1500,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000955,CUST0955,Amazon,4600,6,5900,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000956,CUST0956,Brand Website,6660,9,8560,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000957,CUST0957,Flipkart,2360,3,3060,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000958,CUST0958,Amazon,3960,5,5160,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000959,CUST0959,Local Store,1480,1,1780,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000960,CUST0960,Brand Website,5810,8,7610,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000961,CUST0961,Amazon,3540,5,4640,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000962,CUST0962,Flipkart,2000,2,2500,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000963,CUST0963,Brand Website,7040,10,9240,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000964,CUST0964,Local Store,1170,1,1420,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000965,CUST0965,Amazon,4420,6,5720,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000966,CUST0966,Brand Website,6420,9,8320,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000967,CUST0967,Flipkart,2510,3,3210,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000968,CUST0968,Amazon,3760,5,4960,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000969,CUST0969,Local Store,1380,1,1680,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000970,CUST0970,Brand Website,5980,8,7780,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000971,CUST0971,Amazon,3390,4,4490,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR000972,CUST0972,Flipkart,1940,2,2440,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000973,CUST0973,Brand Website,7390,10,9590,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000974,CUST0974,Local Store,1210,1,1510,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000975,CUST0975,Amazon,4610,6,5910,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000976,CUST0976,Brand Website,6670,9,8570,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000977,CUST0977,Flipkart,2370,3,3070,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000978,CUST0978,Amazon,3970,5,5170,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000979,CUST0979,Local Store,1490,1,1790,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000980,CUST0980,Brand Website,5820,8,7620,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000981,CUST0981,Amazon,3550,5,4650,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000982,CUST0982,Flipkart,2010,2,2510,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000983,CUST0983,Brand Website,7050,10,9250,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000984,CUST0984,Local Store,1180,1,1430,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000985,CUST0985,Amazon,4430,6,5730,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000986,CUST0986,Brand Website,6430,9,8330,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000987,CUST0987,Flipkart,2520,3,3220,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000988,CUST0988,Amazon,3770,5,4970,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000989,CUST0989,Local Store,1390,1,1690,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000990,CUST0990,Brand Website,5990,8,7790,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000991,CUST0991,Amazon,3400,4,4500,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR000992,CUST0992,Flipkart,1950,2,2450,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000993,CUST0993,Brand Website,7400,10,9600,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000994,CUST0994,Local Store,1220,1,1520,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000995,CUST0995,Amazon,4620,6,5920,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000996,CUST0996,Brand Website,6680,9,8580,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000997,CUST0997,Flipkart,2380,3,3080,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000998,CUST0998,Amazon,3980,5,5180,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000999,CUST0999,Local Store,1500,1,1800,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001000,CUST1000,Brand Website,5830,8,7630,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR001001,CUST1001,Amazon,3560,5,4660,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR001002,CUST1002,Flipkart,2020,2,2520,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001003,CUST1003,Brand Website,7060,10,9260,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR001004,CUST1004,Local Store,1190,1,1440,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR001005,CUST1005,Amazon,4440,6,5740,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR001006,CUST1006,Brand Website,6440,9,8340,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR001007,CUST1007,Flipkart,2530,3,3230,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001008,CUST1008,Amazon,3780,5,4980,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001009,CUST1009,Local Store,1400,1,1700,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR001010,CUST1010,Brand Website,6000,8,7800,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR001011,CUST1011,Amazon,3410,4,4510,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR001012,CUST1012,Flipkart,1960,2,2460,Jerseys,2,High,0.46,Debit Card,Low,No
PUR001013,CUST1013,Brand Website,7410,10,9610,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001014,CUST1014,Local Store,1230,1,1530,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR001015,CUST1015,Amazon,4630,6,5930,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR001016,CUST1016,Brand Website,6690,9,8590,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001017,CUST1017,Flipkart,2390,3,3090,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001018,CUST1018,Amazon,3990,5,5190,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001019,CUST1019,Local Store,1510,1,1810,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001020,CUST1020,Brand Website,5840,8,7640,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR001021,CUST1021,Amazon,3570,5,4670,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR001022,CUST1022,Flipkart,2030,2,2530,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001023,CUST1023,Brand Website,7070,10,9270,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR001024,CUST1024,Local Store,1200,1,1450,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR001025,CUST1025,Amazon,4450,6,5750,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR001026,CUST1026,Brand Website,6450,9,8350,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR001027,CUST1027,Flipkart,2540,3,3240,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001028,CUST1028,Amazon,3790,5,4990,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001029,CUST1029,Local Store,1410,1,1710,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR001030,CUST1030,Brand Website,6010,8,7810,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR001031,CUST1031,Amazon,3420,4,4520,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR001032,CUST1032,Flipkart,1970,2,2470,Jerseys,2,High,0.46,Debit Card,Low,No
PUR001033,CUST1033,Brand Website,7420,10,9620,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001034,CUST1034,Local Store,1240,1,1540,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR001035,CUST1035,Amazon,4640,6,5940,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR001036,CUST1036,Brand Website,6700,9,8600,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001037,CUST1037,Flipkart,2400,3,3100,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001038,CUST1038,Amazon,4000,5,5200,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001039,CUST1039,Local Store,1520,1,1820,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001040,CUST1040,Brand Website,5850,8,7650,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR001041,CUST1041,Amazon,3580,5,4680,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR001042,CUST1042,Flipkart,2040,2,2540,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001043,CUST1043,Brand Website,7080,10,9280,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR001044,CUST1044,Local Store,1210,1,1460,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR001045,CUST1045,Amazon,4460,6,5760,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR001046,CUST1046,Brand Website,6460,9,8360,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR001047,CUST1047,Flipkart,2550,3,3250,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001048,CUST1048,Amazon,3800,5,5000,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001049,CUST1049,Local Store,1420,1,1720,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR001050,CUST1050,Brand Website,6020,8,7820,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR001051,CUST1051,Amazon,3430,4,4530,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR001052,CUST1052,Flipkart,1980,2,2480,Jerseys,2,High,0.46,Debit Card,Low,No
PUR001053,CUST1053,Brand Website,7430,10,9630,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001054,CUST1054,Local Store,1250,1,1550,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR001055,CUST1055,Amazon,4650,6,5950,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR001056,CUST1056,Brand Website,6710,9,8610,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001057,CUST1057,Flipkart,2410,3,3110,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001058,CUST1058,Amazon,4010,5,5210,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001059,CUST1059,Local Store,1530,1,1830,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001060,CUST1060,Brand Website,5860,8,7660,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR001061,CUST1061,Amazon,3590,5,4690,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR001062,CUST1062,Flipkart,2050,2,2550,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001063,CUST1063,Brand Website,7090,10,9290,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR001064,CUST1064,Local Store,1220,1,1470,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR001065,CUST1065,Amazon,4470,6,5770,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR001066,CUST1066,Brand Website,6470,9,8370,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR001067,CUST1067,Flipkart,2560,3,3260,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001068,CUST1068,Amazon,3810,5,5010,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001069,CUST1069,Local Store,1430,1,1730,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR001070,CUST1070,Brand Website,6030,8,7830,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR001071,CUST1071,Amazon,3440,4,4540,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR001072,CUST1072,Flipkart,1990,2,2490,Jerseys,2,High,0.46,Debit Card,Low,No
PUR001073,CUST1073,Brand Website,7440,10,9640,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001074,CUST1074,Local Store,1260,1,1560,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR001075,CUST1075,Amazon,4660,6,5960,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR001076,CUST1076,Brand Website,6720,9,8620,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001077,CUST1077,Flipkart,2420,3,3120,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001078,CUST1078,Amazon,4020,5,5220,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001079,CUST1079,Local Store,1540,1,1840,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001080,CUST1080,Brand Website,5870,8,7670,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR001081,CUST1081,Amazon,3600,5,4700,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR001082,CUST1082,Flipkart,2060,2,2560,Jerseys,2,High,0.48,Debit Card,Low,No
PUR001083,CUST1083,Brand Website,7100,10,9300,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR001084,CUST1084,Local Store,1230,1,1480,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR001085,CUST1085,Amazon,4480,6,5780,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR001086,CUST1086,Brand Website,6480,9,8380,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR001087,CUST1087,Flipkart,2570,3,3270,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001088,CUST1088,Amazon,3820,5,5020,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR001089,CUST1089,Local Store,1440,1,1740,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR001090,CUST1090,Brand Website,6040,8,7840,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR001091,CUST1091,Amazon,3450,4,4550,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR001092,CUST1092,Flipkart,2000,2,2500,Jerseys,2,High,0.46,Debit Card,Low,No
PUR001093,CUST1093,Brand Website,7450,10,9650,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001094,CUST1094,Local Store,1270,1,1570,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR001095,CUST1095,Amazon,4670,6,5970,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR001096,CUST1096,Brand Website,6730,9,8630,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001097,CUST1097,Flipkart,2430,3,3130,Gloves,3,High,0.42,Debit Card,Medium,No
PUR001098,CUST1098,Amazon,4030,5,5230,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001099,CUST1099,Local Store,1550,1,1850,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR001100,CUST1100,Brand Website,5880,8,7680,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR001101,CUST1101,Amazon,3610,5,4710,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR001102,CUST1102,Flipkart,2070,2,2570,Jerseys,2,High,0.49,Debit Card,Low,No
PUR001103,CUST1103,Brand Website,7110,10,9310,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001104,CUST1104,Local Store,1240,1,1490,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR001105,CUST1105,Amazon,4490,6,5790,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR001106,CUST1106,Brand Website,6490,9,8390,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001107,CUST1107,Flipkart,2580,3,3280,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001108,CUST1108,Amazon,3830,5,5030,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001109,CUST1109,Local Store,1450,1,1750,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR001110,CUST1110,Brand Website,6050,8,7850,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001111,CUST1111,Amazon,3460,4,4560,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001112,CUST1112,Flipkart,2010,2,2510,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001113,CUST1113,Brand Website,7460,10,9660,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001114,CUST1114,Local Store,1280,1,1580,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001115,CUST1115,Amazon,4680,6,5980,Bats,5,Medium,0.19,UPI,Medium,Yes
PUR001116,CUST1116,Brand Website,6740,9,8640,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001117,CUST1117,Flipkart,2440,3,3140,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001118,CUST1118,Amazon,4040,5,5240,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR001119,CUST1119,Local Store,1560,1,1860,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001120,CUST1120,Brand Website,5890,8,7690,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001121,CUST1121,Amazon,3620,5,4720,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR001122,CUST1122,Flipkart,2080,2,2580,Jerseys,2,High,0.49,Debit Card,Low,No
PUR001123,CUST1123,Brand Website,7120,10,9320,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001124,CUST1124,Local Store,1250,1,1500,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR001125,CUST1125,Amazon,4500,6,5800,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR001126,CUST1126,Brand Website,6500,9,8400,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001127,CUST1127,Flipkart,2590,3,3290,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001128,CUST1128,Amazon,3840,5,5040,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001129,CUST1129,Local Store,1460,1,1760,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR001130,CUST1130,Brand Website,6060,8,7860,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001131,CUST1131,Amazon,3470,4,4570,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001132,CUST1132,Flipkart,2020,2,2520,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001133,CUST1133,Brand Website,7470,10,9670,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001134,CUST1134,Local Store,1290,1,1590,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001135,CUST1135,Amazon,4690,6,5990,Bats,5,Medium,0.19,UPI,Medium,Yes
PUR001136,CUST1136,Brand Website,6750,9,8650,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001137,CUST1137,Flipkart,2450,3,3150,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001138,CUST1138,Amazon,4050,5,5250,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR001139,CUST1139,Local Store,1570,1,1870,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001140,CUST1140,Brand Website,5900,8,7700,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001141,CUST1141,Amazon,3630,5,4730,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR001142,CUST1142,Flipkart,2090,2,2590,Jerseys,2,High,0.49,Debit Card,Low,No
PUR001143,CUST1143,Brand Website,7130,10,9330,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001144,CUST1144,Local Store,1260,1,1510,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR001145,CUST1145,Amazon,4510,6,5810,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR001146,CUST1146,Brand Website,6510,9,8410,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001147,CUST1147,Flipkart,2600,3,3300,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001148,CUST1148,Amazon,3850,5,5050,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001149,CUST1149,Local Store,1470,1,1770,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR001150,CUST1150,Brand Website,6070,8,7870,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001151,CUST1151,Amazon,3480,4,4580,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001152,CUST1152,Flipkart,2030,2,2530,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001153,CUST1153,Brand Website,7480,10,9680,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001154,CUST1154,Local Store,1300,1,1600,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001155,CUST1155,Amazon,4700,6,6000,Bats,5,Medium,0.19,UPI,Medium,Yes
PUR001156,CUST1156,Brand Website,6760,9,8660,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001157,CUST1157,Flipkart,2460,3,3160,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001158,CUST1158,Amazon,4060,5,5260,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR001159,CUST1159,Local Store,1580,1,1880,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001160,CUST1160,Brand Website,5910,8,7710,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001161,CUST1161,Amazon,3640,5,4740,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR001162,CUST1162,Flipkart,2100,2,2600,Jerseys,2,High,0.49,Debit Card,Low,No
PUR001163,CUST1163,Brand Website,7140,10,9340,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001164,CUST1164,Local Store,1270,1,1520,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR001165,CUST1165,Amazon,4520,6,5820,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR001166,CUST1166,Brand Website,6520,9,8420,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001167,CUST1167,Flipkart,2610,3,3310,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001168,CUST1168,Amazon,3860,5,5060,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001169,CUST1169,Local Store,1480,1,1780,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR001170,CUST1170,Brand Website,6080,8,7880,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001171,CUST1171,Amazon,3490,4,4590,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001172,CUST1172,Flipkart,2040,2,2540,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001173,CUST1173,Brand Website,7490,10,9690,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001174,CUST1174,Local Store,1310,1,1610,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001175,CUST1175,Amazon,4710,6,6010,Bats,5,Medium,0.19,UPI,Medium,Yes
PUR001176,CUST1176,Brand Website,6770,9,8670,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001177,CUST1177,Flipkart,2470,3,3170,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001178,CUST1178,Amazon,4070,5,5270,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR001179,CUST1179,Local Store,1590,1,1890,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001180,CUST1180,Brand Website,5920,8,7720,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001181,CUST1181,Amazon,3650,5,4750,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR001182,CUST1182,Flipkart,2110,2,2610,Jerseys,2,High,0.49,Debit Card,Low,No
PUR001183,CUST1183,Brand Website,7150,10,9350,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001184,CUST1184,Local Store,1280,1,1530,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR001185,CUST1185,Amazon,4530,6,5830,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR001186,CUST1186,Brand Website,6530,9,8430,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001187,CUST1187,Flipkart,2620,3,3320,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001188,CUST1188,Amazon,3870,5,5070,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001189,CUST1189,Local Store,1490,1,1790,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR001190,CUST1190,Brand Website,6090,8,7890,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001191,CUST1191,Amazon,3500,4,4600,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR001192,CUST1192,Flipkart,2050,2,2550,Jerseys,2,High,0.47,Debit Card,Low,No
PUR001193,CUST1193,Brand Website,7500,10,9700,Full Kits,8,Low,0.05,Credit Card,High,Yes
PUR001194,CUST1194,Local Store,1320,1,1620,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR001195,CUST1195,Amazon,4720,6,6020,Bats,5,Medium,0.19,UPI,Medium,Yes
PUR001196,CUST1196,Brand Website,6780,9,8680,Full Kits,7,Low,0.08,Credit Card,High,Yes
PUR001197,CUST1197,Flipkart,2480,3,3180,Gloves,3,High,0.43,Debit Card,Medium,No
PUR001198,CUST1198,Amazon,4080,5,5280,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR001199,CUST1199,Local Store,1600,1,1900,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR001200,CUST1200,Brand Website,5930,8,7730,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR001201,CUST1201,Amazon,3660,5,4760,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR001202,CUST1202,Flipkart,2120,2,2620,Jerseys,2,High,0.49,Debit Card,Low,No
PUR001203,CUST1203,Brand Website,7160,10,9360,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR001204,CUST1204,Local Store,1290,1,1540,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR001205,CUST1205,Amazon,4540,6,5840,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR001206,CUST1206,Brand Website,6540,9,8440,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR001207,CUST1207,Flipkart,2630,3,3330,Gloves,3,High,0.44,Debit Card,Medium,No
PUR001208,CUST1208,Amazon,3880,5,5080,Bats,4,Medium,0.21,UPI,Medium,Yes
PUR001209,CUST1209,Local Store,1500,1,1800,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR001210,CUST1210,Brand Website,6100,8,7900,Full Kits,6,Low,0.07,Credit Card,High,Yes
PUR001211,CUST1211,Amazon,3510,4,4610,Shoes,4,Medium,0.24,UPI,Medium,Yes
